PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1630322,314,Lindy Waters III,1610612765,DET,45,687,82,219,0.374,54,161,0.335,8,11,0.727,17,80,97,44,24,10,19,58,226,242,2.32,1.26
1629626,315,Bol Bol,1610612756,PHX,31,421,88,173,0.509,29,88,0.33,20,26,0.769,19,82,101,19,8,24,18,20,225,268,1.06,0.44
1631200,316,Kris Murray,1610612757,POR,55,757,91,202,0.45,21,82,0.256,18,44,0.409,56,68,124,46,27,12,30,47,221,263,1.53,0.9
1629006,317,Josh Okogie,1610612766,CHA,32,499,79,167,0.473,25,65,0.385,37,51,0.725,41,55,96,24,40,15,25,39,220,268,0.96,1.6
1642349,318,Ajay Mitchell,1610612760,OKC,34,561,84,166,0.506,22,51,0.431,28,33,0.848,17,50,67,57,24,3,28,59,218,254,2.04,0.86
1628971,319,Bruce Brown,1610612740,NOP,30,621,81,205,0.395,14,54,0.259,39,46,0.848,28,82,110,54,28,4,30,47,215,250,1.8,0.93
1642265,320,Rob Dillingham,1610612750,MIN,41,486,89,200,0.445,25,70,0.357,8,15,0.533,12,36,48,94,18,1,50,36,211,204,1.88,0.36
1630572,320,Sandro Mamukelashvili,1610612759,SAS,44,385,76,151,0.503,34,90,0.378,25,35,0.714,29,74,103,25,16,13,14,36,211,269,1.79,1.14
1641748,322,Andre Jackson Jr.,1610612749,MIL,57,903,85,182,0.467,29,73,0.397,10,18,0.556,59,109,168,76,31,13,52,106,209,340,1.46,0.6
1630529,323,Herbert Jones,1610612740,NOP,20,648,75,172,0.436,22,72,0.306,33,40,0.825,22,56,78,65,37,9,35,66,205,255,1.86,1.06
1626204,324,Larry Nance Jr.,1610612737,ATL,24,463,80,155,0.516,34,76,0.447,9,13,0.692,23,80,103,38,20,13,16,37,203,282,2.38,1.25
